Name,College,Degree_Branch,Ratings,Heading,Review
Tejas vaman Mhapralkar,Gharda Institute of Technology-[GIT],"BE, Electronics & Telecom Engineering",8.8,Best Internship opportunity,"Selected this course because and increasing demands of Electronics things like mobile refrigerator etc. And I have also an interest in the subject I have to make mini projects related to electronics and telecommunication. The qualifications of the teachers are higher some UPS teachers are qualified in ME, B tech, M-Tech. And the learning process of these teachers are very simple and interesting so I like that teaching. The passing of the simple is not too much difficult if you attend all the lectures regularly then you can easily pass in any exam."
Dimpy,Bhagini Nivedita College - [BNC],"B.Com, General",7.0,Overall everything is good accept architecture,"The college apart from imparting education emphasizes overall student development as well. Frequent sports and cultural activities are conducted which witnesses high student participation. Other facilities on campus include the following:
Library: BNC has a fully automated library with over 36594 books, 13 newspapers, 28 magazines, and print journals. Library also has access to 6000 e-journals, a reading room, and facilities for visually impaired students as well
Laboratories: There are full-fledged laboratories for learning including computer labs, integrated labs, electronics, and physics lab
Training and Placement cell: An active placement cell conducts seminars, workshops, and annual placement drives for eligible students of final year
IGNOU: BNC is also a study center for PG courses by IGNOU, where classes are conducted on weekends"
Adwait Samak,Walchand College of Engineering - [WCE],"B.Tech, Information Technology",8.4,Overall Review of Walchand College of Engineering,"Scholarships are available for students with categories. A general category student would require approx 86000 fees excluding hostel fees.
Other category students have some reduction in fee structure. To avail it, they need to have necessary certificates."
Abhijeet Mitra,Umes Chandra College - [UCC],,8.5,If you are from commerce background,"The annual fest takes place around the month of June-July.The college has a humongous library with proper amenities for the students. There is a treat for sports lovers as Umeschandra college give a high priority to sports and it has clubs rooms with all kind of amenities related to sports and other than being known for its education, it is also known for the competitive sports played by the college students during the competition"
Manasa Sharma,Amity University,"B.Sc {Hons.}, Agriculture",8.6,A new era of agriculture,"Every year there is Amity youth fest which is very famous all the department members likely participate and there is a lot of enthusiasm which is shown by the student body. There are 4 clubs of our own department which are very entertaining and knowledgeable. 
Amity itself is famous for its world class library there are all sought of books journal are present
The classroom has a very friendly environment they are clean and fully air conditioned
All types of sports clubs are present students who are interested in sports can join there clubs moreover swimming dancing photography every type of clubs are there it depends on the interest of student where they want to apply."
bhumi gupta,Prime Institute of Engineering and Technology,"BE, Computer Engineering",10.0,life in prime institute of engg and technology .,"in this college fees ratio less than other colleges. college structure is very good and all facilities are very good.
and also job placement in this college all department TNP members are helping all students.
in last year computer department 13 student place in college. in other branches like mechanical, chemical, civil 8 to 10 students place in this collage."
Soumitra Mukherjee,Meghnad Saha Institute of Technology - [MSIT],"B.Tech, Mechanical Engineering",9.2,Very interesting Internship Roles,"The annual fest is held every year in a grand manner. Its held every year in the month of September/October. Foods music and other party are held for the enjoyment of the students. The library is stuffed with knowledgeable books regarding engineering and vocabulary. Sports Is the second main priority of the college after studies. Every 6months there is a sports event including football cricket and basketball sports.
 There are many clubs involved like Rotaract club, Sargam- the music club of MSIT, Eco club regarding tree plantation, etc."
Student (Anonymous),Marri Laxman Reddy Institute of Technology & Management - [MLRITM],"B.Tech, Electronics & Communication Engineering",9.6,MLRITM,The fee of any bachelor of technology course is 80000 per year and who have got rank and got seat through eamcet the will get the scholarship. The process of getting a scholarship from the government is very long and time taking and there is no guarantee that you will get the scholarship and some scholarship may be rejected for any college.
Namitha j shenoy,Amrita Vishwa Vidyapeetham,"B.Sc + M.Sc, Chemistry",8.0,"My experience at Amrita , Coimbatore","I have a great interest in scientific research and hence opted chemistry , the field where we can carry out numerous experiments. The faculties here are very friendly and are open to feedbacks. The complaints that we raised were always heard and necessary actions were taken. The faculties are well qualified and have good knowledge in the subjects they handle. We are always open to raise doubts and queries. Even though the classes are online, we are able to have a friendly atmosphere. The faculties understand us well and are supportive. Coming to the exam pattern, we have 2 periodical exams and an end semester examination. We'll have the periodical examination in alternate months. One needs to have learnt the daily portions well inorder to gain good marks."
Ashish Mohila,Khandelwal College of Management Science and Technology - [KCMT],"BCA, General",8.2,Best College ever in Bareilly,"After your course, you can get a job from your college in placement or job fair organised by the college. Lots of companies came there like TATA MAHINDRA SBI LIFE KOTAK MAHINDRA etc. There are near about 95% students got their job. But if you don't want to get a job in the companies who came there then you can get it after your college. Because all the courses of the college affiliated with MJPRU."
Harish K,R V College of Engineering - [RVCE],"BE, Electronics & Communication Engineering",10.0,RV College experience review,I did course on Electronics and Communication. The course is perfectly designed to best fit the latest trend in the market. College will regularly have alumni meet to discuss about the quality of their course provided and they take any feedbacks from them who are working in product based companies. Faculties are very well trained and they know content very well. Faculty student ratio is around 1:20. Most of the faculties are PHD holders in their respective domains. The exams were very competitive. The type of questions in the the exams are very creative and top class. There will be 3 quizzes and 2 tests and 1 final semester exam.
Khushi bansal,GLA University,"B.Sc {Hons.}, Biotechnology",7.4,Glimpse of life at GLA University,"There are many fests organized by students for the students like biotech awareness weak, srijan, tech fest, DJ nights, every month different departments organize different workshops and events in which students from different universities participate. 
University also organises sports events like cricket match, the basketball match, football, table tennis, badminton, kho-kho and many more. 
Campus Life is quite fun as campus is well equipped with football ground, basketball court, Cricket field. Each sport has a different ground or field of there own wherein you can play without any interruption. 
Each department has there own library and there is also a central library where you can find each and every book of your choice. All the library are fully air conditioned and are open 24/7 so you can sit and read whenever you want to, you just have to show you college id. 
Classrooms are also well equipped with 2 AC's in each classroom and with good wooden furnitures and are quite big."
Satyam Bajpai,Pranveer Singh Institute of Technology - [PSIT],"B.Tech, Computer Science and Engineering",5.6,Read this before admission,"In the 6th semester, the teacher made you ready for campus placement. A company like Infosys TCS Capgemini etc are visiting in our college. There is a very high chance of getting the placement of you are CSE branch. After getting my degree I will go for higher studies."
Shaurya Omar,GLA University,"B.Tech, Computer Science and Engineering",6.8,,"There's an Annual IT fest called IT Mela which is held around in the month of February. 
The Library is huge and almost every book(related to studies) can be found there.
Classrooms are AC equipped with projectors and white boards.
Almost every sport is available within the campus. We can also lend the sports equipments.
Loads of groups and clubs are run by students, from Personality Developement to Tech clubs- eg. Androkit for Android Developement, Aashayein is a social well being club"
